Data,Descrição,Valor
2025-10-01,Compra débito - Padaria Central,-25.80
2025-10-02,TED recebida - Empresa XYZ Ltda,3500.00
2025-10-04,PIX enviado - Maria Santos,-150.00
2025-10-06,Compra crédito - Magazine Luiza,-599.00
2025-10-08,Rendimento poupança,12.35
2025-10-10,Débito automático - Vivo Fibra,-119.90
2025-10-12,PIX recebido - Pedro Costa,200.00
2025-10-15,Compra débito - Extra Supermercado,-342.50
2025-10-17,Tarifa mensal,-9.90
2025-10-18,PIX enviado - Condomínio,-450.00
2025-10-20,Cashback programa de pontos,15.00
2025-10-22,Saque ATM,-200.00
2025-10-24,Compra débito - Posto Shell,-220.00
2025-10-26,PIX recebido - Consultoria,-800.00
2025-10-28,Débito automático - Claro TV,-89.90
